Algorithm,Fitness_Score,Execution_Time_Seconds,Fairness_Score,Expertise_Score,Balance_Score,Hard_Constraints_Satisfied,Workload_Limits_Satisfied,Expertise_Matching_Satisfied,Fairness_Satisfied,Mean_Workload,Std_Workload,Min_Workload,Max_Workload,Coefficient_of_Variation,Weighted_Score,Rank
genetic_algorithm,-447.1353895510277,74.4584150314331,0.6075473898609788,1.24375,0.6263123803915795,True,True,False,True,11.321666666666667,4.885333208242356,4.583333333333333,21.333333333333332,0.431503006763641,0.7148890951372703,1.0
hill_climbing,-10.0,0.0394811630249023,0.6052543218371151,1.70625,0.6498032288139752,False,True,False,False,11.321666666666667,4.857238044378008,0.0,21.333333333333332,0.4290214671907558,0.5983120934784846,2.0
simulated_annealing,-10.0,2.3518991470336914,0.3358418191277239,1.0875,0.4231326365376123,False,True,False,False,11.321666666666664,7.632031002441108,0.0,24.4,0.6741084353694488,0.19378540416045806,3.0
